Date,KO,PEP
2020-01-02,45.745113372802734,113.11402893066406
2020-01-03,45.495540618896484,112.95577239990234
2020-01-06,45.4788932800293,113.38884735107422
2020-01-07,45.1295051574707,111.60662078857422
2020-01-08,45.212703704833984,112.18126678466797
2020-01-09,46.0362663269043,112.25621032714844
2020-01-10,46.19432830810547,112.03968048095703
2020-01-13,46.69344711303711,113.705322265625
2020-01-14,46.585304260253906,113.97183990478516
2020-01-15,47.16761779785156,115.92897033691406
2020-01-16,47.26744842529297,116.27042388916016
2020-01-17,47.367271423339844,117.64459991455078
2020-01-21,47.5586051940918,118.14427185058594
2020-01-22,47.92463302612305,119.41020965576172
2020-01-23,48.107643127441406,119.635009765625
2020-01-24,47.98286437988281,119.02704620361328
2020-01-27,47.81649398803711,118.37745666503906
2020-01-28,47.42550277709961,118.62728118896484
2020-01-29,47.42550277709961,118.03599548339844
2020-01-30,48.964481353759766,119.7849349975586
2020-01-31,48.58181381225586,118.27751159667969
2020-02-03,48.73155212402344,118.68560791015625
2020-02-04,48.947853088378906,119.27690124511719
2020-02-05,48.95615768432617,120.1763916015625
2020-02-06,49.07262420654297,120.20135498046875
2020-02-07,49.23899841308594,121.06744384765625
2020-02-10,49.70484924316406,121.30899047851562
2020-02-11,49.57176971435547,121.6588363647461
2020-02-12,49.4220085144043,121.6588363647461
2020-02-13,49.58839797973633,121.98359680175781
2020-02-14,49.8712272644043,122.41667938232422
2020-02-18,49.5218391418457,121.259033203125
2020-02-19,49.721492767333984,121.20074462890625
2020-02-20,49.67990493774414,120.89262390136719
2020-02-21,50.020973205566406,121.46721649169922
2020-02-24,48.789791107177734,118.79385375976562
2020-02-25,48.099327087402344,117.51134490966797
2020-02-26,47.91631317138672,118.24419403076172
2020-02-27,45.695194244384766,113.57207489013672
2020-02-28,44.497291564941406,109.95763397216797
2020-03-02,46.51875686645508,114.57980346679688
2020-03-03,46.635215759277344,112.91415405273438
2020-03-04,49.0143928527832,118.58567810058594
2020-03-05,47.200889587402344,115.78945922851562
2020-03-06,45.96971130371094,115.08516693115234
2020-03-09,43.14131164550781,109.13219451904297
2020-03-10,44.638702392578125,112.4692153930664
2020-03-11,43.43247604370117,108.78842163085938
2020-03-12,39.23147964477539,96.7064208984375
2020-03-13,40.674861907958984,106.8599853515625
2020-03-16,37.981109619140625,94.8199234008789
2020-03-17,39.59232711791992,107.08638763427734
2020-03-18,37.63704299926758,101.38494110107422
2020-03-19,35.10272979736328,98.38329315185547
2020-03-20,32.14044189453125,87.13973236083984
2020-03-23,31.519458770751953,88.18778991699219
2020-03-24,33.105499267578125,95.44874572753906
2020-03-25,34.91810607910156,94.3252182006836
2020-03-26,37.16710662841797,100.83155822753906
2020-03-27,35.92512512207031,100.999267578125
2020-03-30,37.7629280090332,105.20825958251953
2020-03-31,37.133544921875,100.69742584228516
2020-04-01,35.34609603881836,99.03731536865234
2020-04-02,36.88179397583008,103.84998321533203
2020-04-03,36.781089782714844,104.46204376220703
2020-04-06,39.16434097290039,109.97064208984375
2020-04-07,39.03008270263672,109.4004898071289
2020-04-08,40.12940216064453,111.18638610839844
2020-04-09,41.1196174621582,112.04161071777344
2020-04-13,39.38253402709961,109.74425506591797
2020-04-14,41.052494049072266,116.04100799560547
2020-04-15,39.95317840576172,113.21543884277344
2020-04-16,39.52519226074219,113.72688293457031
2020-04-17,40.33079147338867,115.32829284667969
2020-04-20,39.04685592651367,112.8129653930664
2020-04-21,38.08181381225586,109.78620147705078
2020-04-22,38.333560943603516,111.19476318359375
2020-04-23,37.821659088134766,109.21603393554688
2020-04-24,38.12376403808594,112.65367126464844
2020-04-27,39.25665283203125,112.73751831054688
2020-04-28,39.22309875488281,114.2970199584961
2020-04-29,39.54197311401367,111.81521606445312
2020-04-30,38.509788513183594,110.91807556152344
2020-05-01,38.26642990112305,109.11540985107422
2020-05-04,37.880409240722656,109.7694091796875
2020-05-05,38.098594665527344,110.39824676513672
2020-05-06,37.553123474121094,109.65201568603516
2020-05-07,37.42724609375,110.297607421875
2020-05-08,38.69440460205078,112.54468536376953
2020-05-11,38.216068267822266,112.67042541503906
2020-05-12,37.611873626708984,111.46306610107422
2020-05-13,36.87338638305664,111.47985076904297
2020-05-14,36.672000885009766,111.58043670654297
2020-05-15,36.30274963378906,113.98677825927734
2020-05-18,37.73774337768555,113.62626647949219
2020-05-19,37.376895904541016,110.44854736328125
2020-05-20,38.509788513183594,110.05447387695312
2020-05-21,37.90557098388672,109.17410278320312
2020-05-22,37.78810119628906,109.4004898071289
2020-05-26,38.67762756347656,108.78842163085938
2020-05-27,39.21469497680664,109.67719268798828
2020-05-28,39.51679611206055,110.91807556152344
2020-05-29,39.17274475097656,110.297607421875
2020-06-01,39.43288040161133,111.50496673583984
2020-06-02,39.35735321044922,111.20315551757812
2020-06-03,40.19654083251953,111.36244201660156
2020-06-04,40.213314056396484,110.32568359375
2020-06-05,41.19515609741211,111.90576171875
2020-06-08,41.83292770385742,111.71142578125
2020-06-09,41.1196174621582,112.35359191894531
2020-06-10,40.80073165893555,113.33373260498047
2020-06-11,38.216068267822266,108.01896667480469
2020-06-12,38.614070892333984,108.99913787841797
2020-06-15,39.20683288574219,110.2496337890625
2020-06-16,39.604835510253906,111.25515747070312
2020-06-17,39.44393539428711,111.33120727539062
2020-06-18,39.79112243652344,112.19303894042969
2020-06-19,38.96973419189453,110.92561340332031
2020-06-22,38.73262405395508,110.73128509521484
2020-06-23,38.64794158935547,110.99320983886719
2020-06-24,37.80961608886719,109.47230529785156
